Premise1_Subject,Premise1_Verb,Premise1_Object,Premise2_Subject,Premise2_Verb,Premise2_Object,If_Clause,If_Subject,Then_Clause,Conclusion_Object
research,needs,image,image,requires,probe,if there is,probe,then there can be,research
transistor,requires,gate,gate,is made from,polysilicon,if there is,polysilicon,then there can be,transistor
diode,needs,pnjunction,pnjunction,requires,dopant,if there is,dopant,then there can be,diode
resistor,uses,film,film,is made from,carbon,if there is,carbon,then there can be,resistor
capacitor,requires,plates,plates,are made from,foil,if there is,foil,then there can be,capacitor
inductor,needs,core,core,is made from,ferrite,if there is,ferrite,then there can be,inductor
aerial,requires,dipole,dipole,is made from,metal,if there is,metal,then there can be,aerial
speaker,needs,notes,notes,is made from,paper,if there is,paper,then there can be,speaker
headphone,requires,driver,driver,contains,neodymium,if there is,neodymium,then there can be,headphone
microphone,needs,capsule,capsule,contains,electret,if there is,electret,then there can be,microphone
keyboard,requires,switch,switch,uses,membrane,if there is,membrane,then there can be,keyboard
touchscreen,needs,digitizer,digitizer,uses,indiumtinoxide,if there is,indiumtinoxide,then there can be,touchscreen
joystick,requires,potentiometer,potentiometer,provides,resistance,if there is,resistance,then there can be,joystick
gamepad,needs,button,button,uses,dome,if there is,dome,then there can be,gamepad
modem,requires,codec,codec,uses,algorithm,if there is,algorithm,then there can be,modem
switch,requires,backplane,backplane,is made from,pcb,if there is,pcb,then there can be,switch
firewall,needs,ruleset,ruleset,is written in,policy,if there is,policy,then there can be,firewall
server,requires,storage,storage,uses,disk,if there is,disk,then there can be,server
database,needs,index,index,is stored on,page,if there is,page,then there can be,database
compiler,requires,parser,parser,uses,grammar,if there is,grammar,then there can be,compiler
interpreter,needs,lexer,lexer,splits,token,if there is,token,then there can be,interpreter
browser,requires,engine,engine,parses,html,if there is,html,then there can be,browser
chatbot,needs,model,model,is trained on,data,if there is,data,then there can be,chatbot
network,requires,protocol,protocol,defines,header,if there is,header,then there can be,network
blockchain,needs,ledger,ledger,stores,block,if there is,block,then there can be,blockchain
robot,requires,actuator,actuator,uses,servo,if there is,servo,then there can be,robot
rover,needs,wheel,wheel,requires,axle,if there is,axle,then there can be,rover
travel,requires,walk,walk,requires,shoes,if there is,shoes,then there can be,travel
spectroscope,needs,prism,prism,is made from,quartz,if there is,quartz,then there can be,spectroscope
biosensor,requires,bioreceptor,bioreceptor,binds,analyte,if there is,analyte,then there can be,biosensor
photodiode,needs,depletion,depletion,requires,bias,if there is,bias,then there can be,photodiode
microprocessor,requires,cache,cache,stores,instruction,if there is,instruction,then there can be,microprocessor
document,requires,text,text,uses,alphabet,if there is,alphabet,then there can be,document
contract,needs,parties,parties,require,consent,if there is,consent,then there can be,contract
treaty,requires,ratification,ratification,requires,quorum,if there is,quorum,then there can be,treaty
statute,needs,enactment,enactment,requires,legislature,if there is,legislature,then there can be,statute
verdict,requires,jury,jury,requires,oath,if there is,oath,then there can be,verdict
