Premise1_Subject,Premise1_Verb,Premise1_Object,Premise2_Subject,Premise2_Verb,Premise2_Object,Conclusion_Subject,Conclusion_Verb,Conclusion_Object
HTTP method,is,a request type in HTTP,GET,is,a request type in HTTP,GET,is a member of,HTTP method
renewable material,is,a material that can regenerate quickly,bamboo,is,a material that can regenerate quickly,bamboo,comes under,renewable material
endangered species,is,a species at risk of extinction,giant panda,is,a species at risk of extinction,giant panda,is an example of,endangered species
official language,is,a language designated as official by a country,French,is,a language designated as official by a country,French,is a kind of,official language
economic system,is,a system for production and distribution of goods,capitalism,is,a system for production and distribution of goods,capitalism,is a type of,economic system
photography technique,is,a method used in taking photos,long exposure,is,a method used in taking photos,long exposure,is a form of,photography technique
sorting algorithm,is,a step‑by‑step procedure for ordering data,quicksort,is,a step‑by‑step procedure for ordering data,quicksort,belongs to,sorting algorithm
smartphone brand,is,a company that manufactures smartphones,Samsung,is,a company that manufactures smartphones,Samsung,falls under,smartphone brand
renewable energy technology,is,a technology that harnesses renewable energy,wind turbine,is,a technology that harnesses renewable energy,wind turbine,is classified as,renewable energy technology
sea,is,a large body of saltwater partially enclosed by land,Mediterranean Sea,is,a large body of saltwater partially enclosed by land,Mediterranean Sea,is included in,sea
mountain range,is,a series of mountains connected by high ground,Andes,is,a series of mountains connected by high ground,Andes,is a member of,mountain range
desert,is,a dry barren area with little rainfall,Sahara,is,a dry barren area with little rainfall,Sahara,comes under,desert
leafy vegetable,is,an edible plant leaf eaten as a vegetable,lettuce,is,an edible plant leaf eaten as a vegetable,lettuce,is an example of,leafy vegetable
mythological creature,is,an imaginary being from mythology,dragon,is,an imaginary being from mythology,dragon,is a kind of,mythological creature
organ,is,a part of an organism that performs a function,heart,is,a part of an organism that performs a function,heart,is a type of,organ
data structure,is,a way of storing data in computers,linked list,is,a way of storing data in computers,linked list,is a form of,data structure
climate pattern,is,a recurring fluctuation in climate,El Niño,is,a recurring fluctuation in climate,El Niño,belongs to,climate pattern
search engine,is,a software system for searching the web,Google,is,a software system for searching the web,Google,falls under,search engine
word class,is,a category of words in grammar,noun,is,a category of words in grammar,noun,is classified as,word class
domestic animal,is,an animal bred and kept by humans,cow,is,an animal bred and kept by humans,cow,is included in,domestic animal
historical period,is,a span of time in history,Renaissance,is,a span of time in history,Renaissance,is a member of,historical period
economic indicator,is,a statistic that indicates economic activity,GDP,is,a statistic that indicates economic activity,GDP,comes under,economic indicator
geological era,is,a unit of geologic time,Paleozoic,is,a unit of geologic time,Paleozoic,is an example of,geological era
waterway,is,a navigable body of water,Panama Canal,is,a navigable body of water,Panama Canal,is a kind of,waterway
phylum,is,a taxonomic rank below kingdom,Chordata,is,a taxonomic rank below kingdom,Chordata,is a type of,phylum
cell organelle,is,a specialized structure within a cell,mitochondrion,is,a specialized structure within a cell,mitochondrion,is a form of,cell organelle
literary device,is,a technique used in writing,metaphor,is,a technique used in writing,metaphor,belongs to,literary device
natural satellite,is,a celestial body that orbits a planet,Moon,is,a celestial body that orbits a planet,Moon,falls under,natural satellite
encryption algorithm,is,a method for encoding information,AES,is,a method for encoding information,AES,is classified as,encryption algorithm
