P1,P2,C
electric guitars requires amplification to project sound,broken amplifier blocks amplification,"if there is broken amplifier, then the electric guitars cannot project sound"
clay pottery requires kiln heat to harden,kiln malfunction blocks kiln heat,"if there is kiln malfunction, then the clay pottery cannot harden"
electric trains requires overhead power to run,pantograph failure blocks overhead power,"if there is pantograph failure, then the electric trains cannot run"
photosensitive film requires developer chemicals to reveal images,chemical exhaustion blocks developer chemicals,"if there is chemical exhaustion, then the photosensitive film cannot reveal images"
server rooms requires cooling to prevent overheating,AC failure blocks cooling,"if there is AC failure, then the server rooms cannot prevent overheating"
gas stoves requires gas flow to produce flame,closed valve blocks gas flow,"if there is closed valve, then the gas stoves cannot produce flame"
scuba divers requires regulators to breathe,regulator freeze blocks regulators,"if there is regulator freeze, then the scuba divers cannot breathe"
athletes requires hydration to perform,dehydration blocks hydration,"if there is dehydration, then the athletes cannot perform"
bakers yeast requires warmth to activate,cold dough blocks warmth,"if there is cold dough, then the bakers yeast cannot activate"
candle flames requires wax fuel to burn,wick trimmed too short blocks wax fuel,"if there is wick trimmed too short, then the candle flames cannot burn"
steam turbines requires high‑pressure steam to spin blades,steam leak blocks high‑pressure steam,"if there is steam leak, then the steam turbines cannot spin blades"
radios requires tuning to receive stations,broken tuner blocks tuning,"if there is broken tuner, then the radios cannot receive stations"
gliders requires rising thermals to stay aloft,stable cold air blocks rising thermals,"if there is stable cold air, then the gliders cannot stay aloft"
ecars requires charging stations to extend range,station outage blocks charging stations,"if there is station outage, then the ecars cannot extend range"
3D printers requires filament feed to print objects,filament jam blocks filament feed,"if there is filament jam, then the 3D printers cannot print objects"
speakers requires audio signal to emit sound,disconnected cable blocks audio signal,"if there is disconnected cable, then the speakers cannot emit sound"
camp lanterns requires fuel to produce light,fuel depletion blocks fuel,"if there is fuel depletion, then the camp lanterns cannot produce light"
diesel generators requires diesel to produce electricity,empty tank blocks diesel,"if there is empty tank, then the diesel generators cannot produce electricity"
refrigerators requires compressor to cool interior,compressor failure blocks compressor,"if there is compressor failure, then the refrigerators cannot cool interior"
watches requires power source to keep time,dead battery blocks power source,"if there is dead battery, then the watches cannot keep time"
hydrogen fuel cells requires hydrogen to generate power,hydrogen shortage blocks hydrogen,"if there is hydrogen shortage, then the hydrogen fuel cells cannot generate power"
sprinkler systems requires water pressure to distribute water,pressure drop blocks water pressure,"if there is pressure drop, then the sprinkler systems cannot distribute water"
electric kettles requires electrical current to boil water,broken heating element blocks electrical current,"if there is broken heating element, then the electric kettles cannot boil water"
geothermal plants requires hot groundwater to produce steam,water depletion blocks hot groundwater,"if there is water depletion, then the geothermal plants cannot produce steam"
microscopes requires illumination to view slides,lamp failure blocks illumination,"if there is lamp failure, then the microscopes cannot view slides"
electric fences requires voltage to deter animals,ground fault blocks voltage,"if there is ground fault, then the electric fences cannot deter animals"
snowmobiles requires snow cover to travel,bare ground blocks snow cover,"if there is bare ground, then the snowmobiles cannot travel"
ski lifts requires cable tension to carry skiers,cable snap blocks cable tension,"if there is cable snap, then the ski lifts cannot carry skiers"
parabolic cookers requires direct sun to cook food,cloud cover blocks direct sun,"if there is cloud cover, then the parabolic cookers cannot cook food"
inkjet printers requires ink to print pages,empty cartridges blocks ink,"if there is empty cartridges, then the inkjet printers cannot print pages"
rocket engines requires oxidizer to combust fuel,oxidizer depletion blocks oxidizer,"if there is oxidizer depletion, then the rocket engines cannot combust fuel"
hydraulic brakes requires fluid pressure to stop vehicles,fluid leak blocks fluid pressure,"if there is fluid leak, then the hydraulic brakes cannot stop vehicles"
windmills requires wind flow to grind grain,still air blocks wind flow,"if there is still air, then the windmills cannot grind grain"
oil lamps requires lamp oil to burn steadily,oil depletion blocks lamp oil,"if there is oil depletion, then the oil lamps cannot burn steadily"
fiber‑optic links requires light signals to transmit data,fiber break blocks light signals,"if there is fiber break, then the fiber‑optic links cannot transmit data"
electric scooters requires battery power to operate,battery drain blocks battery power,"if there is battery drain, then the electric scooters cannot operate"
solar water heaters requires sunlight to heat water,thick clouds blocks sunlight,"if there is thick clouds, then the solar water heaters cannot heat water"
camera flashes requires charge to fire,capacitor failure blocks charge,"if there is capacitor failure, then the camera flashes cannot fire"
photovoltaic calculators requires light to power operations,darkness blocks light,"if there is darkness, then the photovoltaic calculators cannot power operations"
diesel engines requires air intake to operate,clogged air filter blocks air intake,"if there is clogged air filter, then the diesel engines cannot operate"
crop photosynthesis requires sunlight to produce glucose,shade cloth blocks sunlight,"if there is shade cloth, then the crop photosynthesis cannot produce glucose"
seeds requires moisture to sprout,dry soil blocks moisture,"if there is dry soil, then the seeds cannot sprout"
kayaks requires buoyant hull to float,hull puncture blocks buoyant hull,"if there is hull puncture, then the kayaks cannot float"
LED bulbs requires electrical current to emit light,circuit failure blocks electrical current,"if there is circuit failure, then the LED bulbs cannot emit light"
space telescopes requires clear vacuum view to observe stars,orientation error blocks clear vacuum view,"if there is orientation error, then the space telescopes cannot observe stars"
ice rinks requires refrigeration to maintain ice,cooling failure blocks refrigeration,"if there is cooling failure, then the ice rinks cannot maintain ice"
airships requires helium to stay aloft,gas leakage blocks helium,"if there is gas leakage, then the airships cannot stay aloft"
diesel locomotives requires diesel fuel to pull trains,fuel starvation blocks diesel fuel,"if there is fuel starvation, then the diesel locomotives cannot pull trains"
blood circulation requires heartbeat to move blood,cardiac arrest blocks heartbeat,"if there is cardiac arrest, then the blood circulation cannot move blood"
computer fans requires electricity to cool components,fan failure blocks electricity,"if there is fan failure, then the computer fans cannot cool components"
gas grills requires propane to generate flame,empty tank blocks propane,"if there is empty tank, then the gas grills cannot generate flame"
