P1,P2,C
if something is tamper‑evident then that something shows signs of interference,pharmaceutical seals is tamper‑evident,pharmaceutical seals shows signs of interference
if something is odor‑absorbing then that something captures unpleasant smells,activated charcoal is odor‑absorbing,activated charcoal captures unpleasant smells
if something is lead‑free then that something contains no lead,modern plumbing solder is lead‑free,modern plumbing solder contains no lead
if something is water‑repellent then that something sheds water quickly,waxed canvas is water‑repellent,waxed canvas sheds water quickly
if something is high‑fidelity then that something reproduces sound accurately,studio monitors is high‑fidelity,studio monitors reproduces sound accurately
if something is biocompatible then that something is safe for living tissue,surgical titanium is biocompatible,surgical titanium is safe for living tissue
if something is earth‑abundant then that something is widely available in Earth’s crust,aluminum is earth‑abundant,aluminum is widely available in Earth’s crust
if something is long‑lasting then that something has extended durability,LED bulbs is long‑lasting,LED bulbs has extended durability
if something is predictable then that something behaves consistently,clockwork mechanism is predictable,clockwork mechanism behaves consistently
if something is non‑allergenic then that something rarely causes allergies,hypoallergenic pillows is non‑allergenic,hypoallergenic pillows rarely causes allergies
if something is vegan then that something contains no animal products,soy milk is vegan,soy milk contains no animal products
if something is heat‑sensitive then that something changes with temperature,mood ring material is heat‑sensitive,mood ring material changes with temperature
if something is weatherproof then that something withstands outdoor conditions,outdoor furniture is weatherproof,outdoor furniture withstands outdoor conditions
if something is low‑maintenance then that something requires little upkeep,succulent plants is low‑maintenance,succulent plants requires little upkeep
if something is self‑healing then that something can repair minor damage,special polymers is self‑healing,special polymers can repair minor damage
if something is perishable then that something spoils quickly,fresh milk is perishable,fresh milk spoils quickly
if something is volatile then that something evaporates quickly,acetone is volatile,acetone evaporates quickly
if something is oxygen‑rich then that something contains a high level of oxygen,compressed medical air is oxygen‑rich,compressed medical air contains a high level of oxygen
if something is humidity‑dependent then that something changes with moisture levels,wood flooring is humidity‑dependent,wood flooring changes with moisture levels
if something is noise‑proof then that something blocks external sounds,studio isolation booth is noise‑proof,studio isolation booth blocks external sounds
