P1,P2,C
a physical exercise improves cardiovascular health,running improves cardiovascular health,an example of a physical exercise is running improves cardiovascular health
a storage medium records magnetic data,a hard disk drive records magnetic data,an example of a storage medium is a hard disk drive records magnetic data
a safety equipment inflates on collision,an airbag inflates on collision,an example of a safety equipment is an airbag inflates on collision
a household cleaner kills germs,bleach kills germs,an example of a household cleaner is bleach kills germs
a mode of art uses ink on paper,calligraphy uses ink on paper,an example of a mode of art is calligraphy uses ink on paper
a protective structure blocks flood water,a levee blocks flood water,an example of a protective structure is a levee blocks flood water
a Legal document transfers property,a deed transfers property,an example of a Legal document is a deed transfers property
a Photography technique captures long exposure trails,light painting photo captures long exposure trails,an example of a Photography technique is light painting photo captures long exposure trails
a renewable material grows quickly,bamboo grows quickly,an example of a renewable material is bamboo grows quickly
a reptile lays eggs,a sea turtle lays eggs,an example of a reptile is a sea turtle lays eggs
a nutrient strengthens bones,calcium strengthens bones,an example of a nutrient is calcium strengthens bones
a contagious disease spreads via droplets,influenza spreads via droplets,an example of a contagious disease is influenza spreads via droplets
a display technology uses liquid crystals,an LCD screen uses liquid crystals,an example of a display technology is an LCD screen uses liquid crystals
a waste disposal method turns waste to energy,incineration turns waste to energy,an example of a waste disposal method is incineration turns waste to energy
a audio format compresses music files,MP3 compresses music files,an example of a audio format is MP3 compresses music files
a visual art depicts scenery,a landscape painting depicts scenery,an example of a visual art is a landscape painting depicts scenery
a poultry lays eggs for consumption,a chicken lays eggs for consumption,an example of a poultry is a chicken lays eggs for consumption
a transport infrastructure spans a river,a suspension bridge spans a river,an example of a transport infrastructure is a suspension bridge spans a river
a climbing equipment secures ropes,a carabiner secures ropes,an example of a climbing equipment is a carabiner secures ropes
a surgical instrument cuts tissue precisely,a scalpel cuts tissue precisely,an example of a surgical instrument is a scalpel cuts tissue precisely
a public place lends books,a library lends books,an example of a public place is a library lends books
a type of pasta is stuffed with cheese,ravioli is stuffed with cheese,an example of a type of pasta is ravioli is stuffed with cheese
a visual signal indicates traffic stops,a red light indicates traffic stops,an example of a visual signal is a red light indicates traffic stops
a defense mechanism sprays noxious fluid,a skunk spraying sprays noxious fluid,an example of a defense mechanism is a skunk spraying sprays noxious fluid
a dessert contains frozen cream,ice cream contains frozen cream,an example of a dessert is ice cream contains frozen cream
a writing system uses pictographs,Egyptian hieroglyphs uses pictographs,an example of a writing system is Egyptian hieroglyphs uses pictographs
a aromatic oil is extracted from lavender,lavender essential oil is extracted from lavender,an example of a aromatic oil is lavender essential oil is extracted from lavender
a landform is formed by glacial erosion,a fjord is formed by glacial erosion,an example of a landform is a fjord is formed by glacial erosion
a government body creates laws,a parliament creates laws,an example of a government body is a parliament creates laws
