P1,P2,C
rock concerts are loud,libraries are quiet,rock concerts are loud and libraries are quiet
icebergs float in water,stones sink in water,icebergs float in water and stones sink in water
deserts lack rainfall,rainforests receive rainfall,deserts lack rainfall and rainforests receive rainfall
cotton absorbs sweat,polyester wicks moisture,cotton absorbs sweat and polyester wicks moisture
printer ink dries quickly,paint dries slowly,printer ink dries quickly and paint dries slowly
glasses correct vision,hearing aids amplify sound,glasses correct vision and hearing aids amplify sound
sunscreens prevent burns,lotions moisturize skin,sunscreens prevent burns and lotions moisturize skin
bread rises with yeast,cakes rise with baking powder,bread rises with yeast and cakes rise with baking powder
tsunamis flood coasts,earthquakes crack ground,tsunamis flood coasts and earthquakes crack ground
magnifying glasses enlarge images,telescopes magnify distant objects,magnifying glasses enlarge images and telescopes magnify distant objects
locks secure doors,keys open locks,locks secure doors and keys open locks
compasses use magnets,calipers measure distance,compasses use magnets and calipers measure distance
rain cools air,sun heats air,rain cools air and sun heats air
cities host skyscrapers,villages host cottages,cities host skyscrapers and villages host cottages
mountains affect climate,oceans affect weather,mountains affect climate and oceans affect weather
bamboo grows rapidly,oak grows slowly,bamboo grows rapidly and oak grows slowly
asteroids orbit sun,comets display tails,asteroids orbit sun and comets display tails
radio waves transmit signals,fiber optics transmit data,radio waves transmit signals and fiber optics transmit data
enzymes speed reactions,inhibitors slow reactions,enzymes speed reactions and inhibitors slow reactions
cranes lift loads,conveyors move goods,cranes lift loads and conveyors move goods
markets sell produce,farms grow produce,markets sell produce and farms grow produce
blueberries stain fabric,bleach removes stains,blueberries stain fabric and bleach removes stains
reptiles lay eggs,mammals nurse young,reptiles lay eggs and mammals nurse young
