id,premise1,premise2,conclusion,type,new_type,type_amr_op,"Remarks (Ian)  "
56,an example of camouflage is an animal rapidly changing into the color of the environment,camouflage is used for hiding by animals from predators,rapidly changing into the color of the environment is used by animals to hide from predators,substitution,,arg_substitution,
57,vacuoles are the organelles that store water and food for potato cells,starch is a kind of food,vacuoles are the organelles that store water and starch for potato cells,substitution,arg_substitution,arg_substitution,
58,resources are generally abiotic factors of an environment and organisms are biotic features of an environment,changes to abiotic factors in an environment affect biotic factors in that environment,changes to resources in an environment affect organsims in that environment,substitution,,unk,
59,reproduction is required for the survival of a species,a redwood tree and a wildflower both have the ability to reproduce,a redwood tree and a wildflower both have the ability to reproduce in order to suvive,further_specification_or_conjunction,further_specification,arg_insertion,
60,"helium, neon, argon, krypton, xenon, and radon have complete outer electron shells","if the outermost electron shell of an atom is complete, then the element of those atoms will not react with other elements easily","helium, neon, argon, krypton, xenon, and radon will not react with other elements easily",inference_from_rule,,cond_frame_insertion,
61,sunlight is a kind of solar energy,solar energy is a renewable / inexhaustible resource,sunlight is a kind of renewable resource,substitution,arg_substitution,arg_substitution,
62,an example of camouflage is organism having the same color as its environment,an animal is a kind of organism,an example of camouflage is an animal having the same color as its environment,substitution,arg_substitution,arg_substitution,
63,producers are a source of nutrients for animals,an animal / living thing requires nutrients for survival,an animal requires nutrients from producers,further_specification_or_conjunction,further_specification,frame_substitution,
64,nuclear fusion in the core of the sun generates energy for the sun,nuclear fusion converts hydrogen into helium,the nuclear fusion in the core of the sun converts hydrogen into helium,init,further_specification_or_conjunction,arg_insertion,
65,different availabilty of water in different types of soil impact plant growth,different amounts of nutrients in different types of soil impact plant growth,type of soil impacts plant growth through amount of nutrients and availability of water,further_specification_or_conjunction,conjunction,unk,
66,placing a blanket on fire cuts off the oxygen required for fire to burn,if something is required for a process then keeping that something from reaching that process can stop that process,placing a blanket on fire will stop the fire from burning,inference_from_rule,,unk,
67,a forest is dark in color,a forest is a kind of environment,a forest environment is dark in color,further_specification_or_conjunction,further_specification,arg_substitution,
68,"if the tire overheats, some chemical in the tire will vaporized","if the temperature of the tire keeps increasing, the tire will overheat","if the temperature of the tire keeps increasing, some chemical in the tire will be vaporized",init,if_then,cond_frame_insertion,
69,a rose is a kind of plant,a plant requires nutrients to grow,a rose requires nutrients to grow,substitution,arg_substitution,arg_substitution,
70,coloration has a positive impact on an animal's ability to attract a mate / reproduce,an adaptation has a positive impact on an animal 's ability to reproduce,coloration is a kind of adaptation for attracting a mate / reproduction,further_specification_or_conjunction,further_specification,unk,
71,iron nails are magnetic,a magnet attracts magnetic metals,a magnet will attract an iron nail,substitution,,arg_substitution,
72,spring tides occur during a full moon,spring tide is when the distance between high tide and low tide is the greatest,the highest tides occur during a full moon,init,further_inference,arg_substitution,
73,a bird and a rabbit are living things,a seed is a kind of living thing,"a bird, a rabbit, and a seed are living things",further_specification_or_conjunction,conjunction,arg_insertion,
74,the respiratory system takes oxygen from the environment into the body and converts it to carbon dioxide by breathing,breathing out is when animals expel carbon dioxide from their body into the environment,the respiratory system takes oxygen from the environment into the body and expels carbon dioxide from the body into the environment by breathing,further_specification_or_conjunction,conjunction,frame_substitution,
75,if something is emitted at a location then that something can be found at that location,energy formed by magma heating earth's crust is emitted along fault lines,energy formed by magma heating earth's crust can be found along fault lines,inference_from_rule,,cond_frame_insertion,
76,photosynthesis requires light,dark means a low amount of light,darkness has a negative impact on photosynthesis,init,,unk,
77,a warm front is formed above the continent,a warm front causes cloudy and rainy weather,the warm front will cause cloudy and rainy weather,init,one_premise_only,prem_copy,
78,a battery converts chemical energy into electrical energy for powering electrical devices,a radio is a kind of electrical device,the battery converts chemical energy into electrical energy to power a radio,substitution,arg_substitution,arg_substitution,
79,water is a kind of substance,freshwater is a kind of water,freshwater is a kind of substance,substitution,arg_substitution,arg_substitution,
80,water in a river is part of the water cycle,the water cycle recycles water throughout the earth over time,water in a river is recycled by the water cycle over time,substitution,,arg_insertion,
81,a polar bear requires a cold environment,zoo exhibits should contain all things required by the animals living in those exhibits,a polar bear exhibit should contain a cold environment,further_specification_or_conjunction,further_specification,arg_substitution,
82,metal is the material that has a higher conductivity than other materials,metal fork is made of metal,metal fork is the best conductor of electricity in this example,property_inheritance,,unk,
83,pot is a kind of thermal conductor,if a thermal conductor is exposed to a source of heat then that conductor may become hot / warm,"if a pot is exposed to a source of heat, then the pot will become hot",substitution,arg_substitution,unk,
84,a paper clip is an object made of magnetic metals,a magnet attracts magnetic metals / ferromagnetic metals through magnetism,a magnet will attract a paper clip through magnetism,substitution,,arg_substitution,
85,gray fur is heterozygous dominant for mice,two gray mice are crossed to produce offspring,two heterozygous dominant mice are crossed to produce offspring,substitution,,arg_substitution,
86,substance y and substance z cannot be broken into simpler particles,an element cannot be decomposed into two or more different substances by simple chemical methods,substance y and substance z are elements,substitution,,unk,
87,solar energy comes from the sun,solar energy is a kind of energy,solar energy is a kind of energy that comes from the sun,further_specification_or_conjunction,further_specification,frame_substitution,
88,living underground can be used for avoiding predators,a predator eats other animals for food,living underground can be used for avoiding being eaten by predators,further_specification_or_conjunction,,frame_substitution,
89,"as the speed of rocks cooling decreases, the crystal size of the rock will increase",to slow / to slow down decreases speed,a rock cooling slowly causes the crystal size of the rock to increase,inference_from_rule,,unk,
90,the skeletal system protects parts of an animal in order to protect that animal,internal organs are a part of an animal,the skeletal system protects internal organs,substitution,arg_substitution,arg_substitution_prop,
91,an inexhaustible resource is a kind of renewable resource,to be inexhaustible means to always be available,an inexhaustable resource is a kind of renewable resource that is always available,further_specification_or_conjunction,further_specification,arg_insertion,
92,aluminum can be recycled,recycling decreases the amount of waste sent to landfills,recycling aluminum can decrease the amount of waste sent to landfills,further_specification_or_conjunction,further_specification,frame_substitution,
93,humans eat parts of plants,a plant is a kind of organism,humans eat organisms,substitution,arg_substitution,arg_substitution,
94,a plant requires food to grow,to grow can mean to develop,a plant requires food for development,substitution,verb_substitution,arg_insertion,
95,cold temperatures usually have a negative impact on organisms,temperature is a property of an environment,cold temperatures are a property of an environment that have a negative impact on organisms,further_specification_or_conjunction,further_specification,frame_insertion,
96,the equator receives the most amount of direct sunlight throughout the year,the poles receives the least amount of direct sunlight throughout the year,the equator receives more direct sunlight than the poles on earth,further_specification_or_conjunction,further_specification,frame_insertion,
97,evaporation means a substance changes from a liquid into a gas by increasing heat energy,water is a kind of substance,water evaporating is when water changes from a liquid into a gas by increasing heat energy,further_specification_or_conjunction,further_specification,frame_substitution,
98,aluminum is recyclable,an aluminum can is made of aluminum,an aluminum can is recyclable,property_inheritance,,arg_substitution_prop,
99,a lack of water prevents the survival of plants,a desert environment is low in availability of water,a lack of water prevents the survival of plants in the desert,further_specification_or_conjunction,further_specification,arg_insertion,
100,something that is skinny can go in something that is small,"in order to obtain something from a place, you must be able to go inside of that place",something skinny can obtain something from a small place,inference_from_rule,,frame_substitution,
101,photosynthesis increases the amount of oxygen in the atmosphere,the photosynthetic life performs photosynthesis,photosynthetic life increases the amount of oxygen in the atmosphere,substitution,,,
102,an animal is a kind of consumer,an animal / bacterium requires oxygen for survival / to breathe,a consumer requires oxygen for survival,substitution,arg_substitution,,
103,chemical splashing during experiments can cause harm to the eyes,safety goggles are used for protecting the eyes during experiments,safety goggles can be used for protecting the eyes from chemical splashing,init,substitution,,
104,a hot boiled egg in cold water is an example of hot object in a colder substance,"when a cooler object touches a warmer object , thermal conduction occurs",thermal conduction will occur between the hot egg and the cold water,inference_from_rule,,,
105,using fossil fuels to generate power produces greenhouse gasses,fossil fuels are a nonrenewable resource,using nonrenewable resources to generate power produces greenhouse gasses,substitution,arg_substitution,,
106,snow falls during the winter in some environments,"when snow falls in an environment, the environment becomes white in color",a winter environment may be white in color,inference_from_rule,,,
107,in the photosynthesis process sunlight has the role of raw material,if something has the role of raw material in photosynthesis then that something is required for photosynthesis,a plant requires sunlight for photosynthesis,inference_from_rule,,,
108,decomposition is when a decomposer recycles / returns nutrients / nitrogen from dead organisms to the soil by eating those dead organisms,if something is returned to a place then that something is added to that place,decomposers add nitrogen to soil using decomposition,inference_from_rule,,,
109,a plant / living thing requires nutrients to grow,soil contains nutrients for plants,a plant requires nutrients from soil to grow,further_specification_or_conjunction,further_specification,,
110,rolling in mud can be used to avoid fly bites by a moose,rolling in mud is a learned behavior,a moose rolling in mud to avoid fly bites is a kind of learned behavior,further_specification_or_conjunction,further_specification,,
111,gases from burning coal and gasoline cause acid rain,if something causes something else then that something contributes to the formation of that something else,gasses from burning coal and gasoline contribute to the formation of acid rain,inference_from_rule,,,
112,a plant can produce its own food,an animal can not produce its own food,a plant can produce its own food but an animal can not produce its own food,further_specification_or_conjunction,conjunction,,
113,something positive is desirable,using less of a resource has a positive impact on the resource,using less of a resource has a desirable impact on the resource,substitution,,,
114,an example of an behavioral adaptation is a bird building a nest,an example of a behavioral adaptation is living in the warm ash from a volcano,an example of a behavioral adaptation is a bird building a nest in the warm ash from a volcano,further_specification_or_conjunction,further_specification,,
115,avoiding predators has a positive impact on the organism,cactus wrens build their nests in cholla cacti to avoid predators,cactus wrens building their nests in cholla cacti has a positive impact on themselves,substitution,,,
116,an arctic fox is a kind of animal,an animal is a kind of organism,an arctic fox is a kind of organism,substitution,arg_substitution,,
117,the flowing colorado river is important for forming the grand canyon,the colorado river is a flowing body of water,a flowing body of water is important for forming the grand canyon,substitution,,,
118,the paper bag has changed from a whole into pieces of paper,a piece of an object is smaller in size than the entire object / whole object,pieces of the paper bag are smaller than the whole bag,init,substitution,,
119,an example of camouflage is organism changing into the color of the environment,camouflage is a kind of adaptation for hiding in an environment,changing into the color of the environment is a kind of adaptation for hiding in an environment,substitution,arg_substitution,,
120,when food is digested it is broken down into the things it contains,food contains nutrients for living things,when food is digested it is broken down into nutrients,init,substitution,,
121,"as water increases in an environment , the population of aquatic animals will increase",a salamander is a kind of aquatic animal,"as water increases in an environment, the population of salamanders may increase",substitution,arg_substitution,,
122,the electric motor in the fan causes the vanes to have mechanical energy,an electric motor converts electrical energy into mechanical energy,a fan converts electrical energy into mechanical energy,init,substitution,,
123,growth requires the production of more cells,cell division produces cells,growth requires cell division,substitution,,,
124,global warming is when worldwide temperature increases,worldwide refers to something that covers the entire planet,global warming is when the temperature of the entire planet increases,substitution,,,
125,a piece of granite is a kind of object,a graduated cylinder is used to measure volume of an object,a graduated cylinder can be used to measure volume of a piece of granite,substitution,arg_substitution,,
126,the immune system attacks pathogens in the body,white blood cells are a part of the immune system,white blood cell attacks pathogens in the body,substitution,arg_substitution,,
127,blacktop is made of asphalt concrete,asphalt has a smooth surface,a blacktop has a smooth surface,property_inheritance,,,
128,if runoff enters a lake then fertilizer will enter that lake,fertilizers have a positve impact on algae growth in a lake,runoff entering a lake has a positive impact on algae growth in that lake,inference_from_rule,,,
129,chocolate is a kind of solid usually,chocolate is a kind of substance,chocolate is a kind of solid substance,further_specification_or_conjunction,further_specification,,
130,camouflage has a positive impact on an animal's survival,a rabbit is a kind of animal,camouflage has a positive impact on a rabbit's survival,substitution,arg_substitution,,
131,predators may avoid animals that produce bad odors,causing predators to avoid you is a kind of method for avoiding predators,producing a bad odor is a kind of method for avoiding predators,substitution,,,
132,seeing is a kind of action,if something is used for an action then that something produces the things required for that action,if something is used for seeing then that something produces the things required for seeing,substitution,arg_substitution,,
133,warning can be used to keep animals away,a wolf is a kind of animal,warning can be used to keep wolves away,substitution,arg_substitution,,
134,producers are a source of food energy for living things,living things all require a source of energy for survival,living things all require a producers for survival,substitution,arg_substitution,,
135,planting trees is a kind of human action that increases the number of trees in an envrionment,increasing the number of trees slows the rate of soil erosion,planting trees is a kind of human action that slows the rate of soil erosion,substitution,,,
136,an animal is a kind of organism,a bear is a kind of animal,a bear is a kind of organism,substitution,arg_substitution,,
137,wind direction is a kind of information about weather,a station model is used for displaying information about weather in a particular point and time,wind direction in a particular point and time is displayed in a station model,substitution,,,
138,an increase in water has a positive impact on an aquatic animal's survival,an alligator is a kind of aquatic animal,an increase in water has a positive impact on alligators,substitution,arg_substitution,,
139,a mine is a source of minerals,mining is when humans take rocks and minerals from the ground,if a mine is a source of something then that something can be mined,init,if_then,,
140,plankton live in bodies of water,a bay is a kind of body of water,some plankton live in bays,substitution,arg_substitution,,
141,a tree is a kind of plant,a plant is a kind of organism,a tree is a kind of organism,substitution,arg_substitution,,
142,a star emits light through nuclear reactions,a star is a kind of celestial object / celestial body,a star is a celestial body that emits light through nuclear reactions,further_specification_or_conjunction,further_specification,,
143,plant reproduction requires pollinating animals,if something is required for a process then that something positively impacts that process,pollinating animals have a positive impact on plant reproduction,inference_from_rule,,,
144,the sun transfers energy from itself to the earth through sunlight,plants are a part of earth,energy is transfered to plants through sunlight,substitution,arg_substitution,,
145,a sexual reproduction process has happened in the protists that the student observed,volvox is a kind of protist that reproduces sexually,the protist may be volvox,init,one_premise_only,,
146,coal is used for generating heat by burning,coal is used to produce electricity by burning in coal-fire power stations,using coal usually requires burning coal,init,one_premise_only,,
147,a carpet can absorb sound,"if sound is absorbed, then sound can not reflect off the surface",sound cannot reflect off the surface of a carpet,inference_from_rule,,,
148,water is a kind of substance,freezing means a substance changes from a liquid into a solid by decreasing heat energy,water freezing means water changes from a liquid into a solid by decreasing heat energy,further_specification_or_conjunction,further_specification,,
149,a thermometer is used to measure temperature,a melting point is a temperature,a thermometer can be used to measure the melting point of a substance,substitution,arg_substitution,,
150,some animals grow thicker fur in cold weather,some animals shed fur in warm weather,some animals grow thicker fur in cold weather and shed fur in warm weather,further_specification_or_conjunction,conjunction,,
151,teeth are a part of an animal's skull,jaws are a part of an animal's skull,teeth and jaws are a part of an animal's skull,further_specification_or_conjunction,conjunction,,
152,drought is when available water decreases in an environment over a period of months / years,"as available water decreases , the population of plants will decrease",a drought that occurs over a period of months / years may cause the population of plants in an environment to decrease,inference_from_rule,,,
153,storing water is a kind of adaptation increasing the availability of water,an adaptation is a kind of characteristic of an organism,storing water is a kind of characteristic of an organism that increases the availability of water,further_specification_or_conjunction,further_specification,,
154,fish require oxygen to survive,a required resource being low in availability has a negative impact on the something that requires that resource,oxygen being low in availablilty has a negative impact on fish,inference_from_rule,,,
155,nevada contains many active fault lines,if something contains many of something else then that something else is common in that something,active fault lines are common in nevada,inference_from_rule,,,
156,producer is a kind of role in the food chain process that produces food,green plants produce food for themselves / animals / consumers,in the food chain process a green plant has the role of producer,substitution,,,
157,brass is made of two metals,an alloy is made of two or more metals,brass is a kind of alloy,infer_class_from_properties,,,
158,a nest contains eggs,birds sit in nests,birds sit on eggs,substitution,,,
159,shaking the ground of the earth can change earth's surface,an earthquake causes the ground to shake,an earthquake can change earth's surface by shaking the ground,further_specification_or_conjunction,further_specification,,
160,food contains nutrients and energy for living things,to contain something can mean to store something,food stores nutrients and energy for living things,substitution,verb_substitution,,
161,the intelligence of a human is an acquired characteristic,inherited characteristics are the opposite of acquired characteristics,the intelligence of a human is not an inherited characteristic,substitution,,,
162,an animal is a kind of living thing,antlers are usually part of animals,antlers are usually part of a living thing,substitution,arg_substitution,,
163,metals usually have higher conductivity than nonmetals,metal is an electrical conductor,metal is the material that has a higher conductivity than other materials,further_specification_or_conjunction,further_specification,,
164,light eyes are a recessive trait for human,jessica is a human with light eyes,jessica has a recessive trait of light eyes,substitution,,,
165,glass bottles are made of recyclable material,recyclable means a material can be recycled / reused many times,glass bottles can be reused many times,property_inheritance,,,
166,state of matter is a property of matter and includes ordered values of solid / liquid / gas,hydrogen is a kind of gas at room temperature,the state of matter of hydrogen is gas,init,,,
167,a consumer can take in oxygen for survival,oxygen is a kind of gas at room temperature,oxygen is a kind of gas that consumers take in for survival,further_specification_or_conjunction,further_specification,,
168,the scientist has to gather information of ancient environment,fossils is a kind of information on ancient environment,the scientist can use fossils as information on ancient environment,further_specification_or_conjunction,further_specification,,
169,decomposers add nutrients to soil using decomposition,nutrients in soil help a plant survive and grow,decomposers help a plant survive and grow by adding nutrients to soil,further_specification_or_conjunction,further_specification,,
170,a liver is a part of an animal used in digestion,"if something is used for a process, then losing that something has a negative impact on that process",an animal losing their liver has a negative impact on that animal's digestion,inference_from_rule,,,
171,a lake is a kind of body of water,algae is found in bodies of water,algae is found in a lake,substitution,arg_substitution,,
172,fossils are preserved in sedimentary rock,"if something is preserved in sedimentary rocks, then that something can be found in the sedimentary rock",nearly all fossils are found in sedimentary rock,inference_from_rule,,,
173,gases released during the use of fossil fuels cause an increase in worldwide temperature,worldwide means global,gases released during the use of fossil fuels cause an increase in global temperature,substitution,arg_substitution,,
174,an electric motor is a part of an electric fan for rotating the vanes in the fan,an electric motor converts electrical energy into mechanical energy,the electric motor in the fan converts electrical energy into mechanical energy,further_specification_or_conjunction,further_specification,,
175,if an organism 's prey moves quickly then that organism may need to move quickly to catch its prey,a predator is a kind of organism,if a predator's prey moves quickly then that predator may need to move quickly to catch its prey,substitution,arg_substitution,,
176,conductivity is a property of an element,an electrical conductor is conductive,an electrical conductor is an element that is conductive,further_specification_or_conjunction,further_specification,,
177,howling is used for communication by animals,a wolf is a kind of animal,howling can be used for communication by wolves,substitution,arg_substitution,,
178,reading requires light,a light bulb generates visible light when it is turned on,a light bulb can help generate light for reading,further_specification_or_conjunction,further_specification,,
179,norfolk is a kind of town,richmond is a kind of town,norfolk and richmond are two towns,further_specification_or_conjunction,conjunction,,
180,the inner core of the earth is under extremely high pressure,extreme high pressure causes the inner core of earth to be in solid state,the inner core of earth is solid,substitution,,,
181,the transferring of heat energy from soup to wood is slowed down,transferring of heat causes the object to increase in temperature,the wood will increase temperature slower,further_specification_or_conjunction,further_specification,,
182,winter has cold temperatures,temperature is a property of the environment,winter means cold environmental temperature,further_specification_or_conjunction,further_specification,,
183,alligators eat animals,a predator eats other animals for food,alligators are a kind of predator,infer_class_from_properties,,,
184,an attached earlobe is a recessive trait in human,"if both recessive genes are present , then the recessive trait will be visible / expressed",to have an attached earlobe requires the human to have both recessive genes,inference_from_rule,,,
185,an organism is a source of organic material,organisms are made of organic compounds,organic material is made of organic compounds,substitution,arg_substitution,,
186,being buried under soil and mud changes dead vegetation into coal through extreme heat and pressure in a swamp over a long period of time,if something changes into something else then that something else is formed from that something,coal is formed from dead vegetation,inference_from_rule,,,
